Input dim,Multiplier,Hidden dim,Lr,Layers fc,Epochs,Loss
20,0,2,0.001,2,10943,0.046269383281469345
20,0,4,0.001,2,5526,0.04942473769187927
20,0,6,0.001,2,4414,0.04919259995222092
20,0,8,0.001,2,1743,0.04946456104516983
20,0,10,0.001,2,1788,0.0485120490193367
20,0,12,0.001,2,1249,0.047840144485235214
20,0,14,0.001,2,1918,0.04999515414237976
20,0,16,0.001,2,1664,0.04890536516904831
20,0,18,0.001,2,2061,0.049745380878448486
20,1,20,0.001,2,1174,0.04692576080560684
20,1,22,0.001,2,2018,0.04950891435146332
20,1,24,0.001,2,1174,0.04604734107851982
20,1,26,0.001,2,1153,0.04428582638502121
20,1,28,0.001,2,1486,0.04866419732570648
20,1,30,0.001,2,1258,0.0484289675951004
20,1,32,0.001,2,1376,0.04329558461904526
20,0,2,0.001,2,7817,0.049758389592170715
20,0,4,0.001,2,3624,0.04728984832763672
20,0,6,0.001,2,3718,0.0483071468770504
20,0,8,0.001,2,3901,0.04358172044157982
20,0,10,0.001,2,2178,0.04699665680527687
20,0,12,0.001,2,2405,0.04813818261027336
20,0,14,0.001,2,2525,0.044309087097644806
20,0,16,0.001,2,2085,0.046158675104379654
20,0,18,0.001,2,1650,0.048642486333847046
20,1,20,0.001,2,1460,0.04796021804213524
20,1,22,0.001,2,1577,0.0428289994597435
20,1,24,0.001,2,1447,0.044987600296735764
20,1,26,0.001,2,1193,0.04494117200374603
20,1,28,0.001,2,1426,0.048122942447662354
20,1,30,0.001,2,1170,0.048122748732566833
20,1,32,0.001,2,1331,0.0445050448179245
20,0,2,0.001,2,11766,0.04713008552789688
20,0,4,0.001,2,8617,0.048259299248456955
20,0,6,0.001,2,3705,0.049671173095703125
20,0,8,0.001,2,3423,0.048780713230371475
20,0,10,0.001,2,2594,0.04944364354014397
20,0,12,0.001,2,1931,0.04879996180534363
20,0,14,0.001,2,2197,0.040653377771377563
20,0,16,0.001,2,1371,0.048619113862514496
20,0,18,0.001,2,1757,0.048354052007198334
20,1,20,0.001,2,1739,0.04880674183368683
20,1,22,0.001,2,1457,0.048307064920663834
20,1,24,0.001,2,1118,0.04866914451122284
20,1,26,0.001,2,942,0.045680273324251175
20,1,28,0.001,2,1121,0.04898229241371155
20,1,30,0.001,2,1740,0.04380098730325699
20,1,32,0.001,2,1362,0.04582688957452774
20,1,36,0.001,2,1080,0.04952649027109146
20,2,40,0.001,2,1399,0.04943055659532547
20,2,44,0.001,2,1095,0.04219074174761772
20,2,48,0.001,2,948,0.044999755918979645
20,2,52,0.001,2,1025,0.044215381145477295
20,2,56,0.001,2,945,0.04652014374732971
20,3,60,0.001,2,1064,0.046197324991226196
20,3,64,0.001,2,777,0.04199236258864403
20,1,36,0.001,2,1404,0.049240611493587494
20,2,40,0.001,2,1031,0.04712273180484772
20,2,44,0.001,2,1408,0.047771770507097244
20,2,48,0.001,2,776,0.04741851985454559
20,2,52,0.001,2,1254,0.0499628446996212
20,2,56,0.001,2,931,0.04769887030124664
20,3,60,0.001,2,775,0.04772524908185005
20,3,64,0.001,2,1030,0.04821683093905449
20,1,36,0.001,2,1716,0.04095173627138138
20,2,40,0.001,2,1139,0.04796983674168587
20,2,44,0.001,2,1077,0.049810782074928284
20,2,48,0.001,2,860,0.045199405401945114
20,2,52,0.001,2,895,0.04139246046543121
20,2,56,0.001,2,896,0.04958697780966759
20,3,60,0.001,2,703,0.04328432306647301
20,3,64,0.001,2,934,0.04599837586283684
20,3,72,0.001,2,1004,0.045423559844493866
20,4,80,0.001,2,759,0.043969281017780304
20,4,88,0.001,2,830,0.04869774356484413
20,4,96,0.001,2,683,0.0493796281516552
20,5,104,0.001,2,806,0.045208290219306946
20,5,112,0.001,2,699,0.048883914947509766
20,6,120,0.001,2,784,0.04349728673696518
20,6,128,0.001,2,748,0.04883289337158203
20,3,72,0.001,2,941,0.04892594739794731
20,4,80,0.001,2,801,0.04864729195833206
20,4,88,0.001,2,671,0.045873574912548065
20,4,96,0.001,2,728,0.040834277868270874
20,5,104,0.001,2,736,0.04855010285973549
20,5,112,0.001,2,658,0.04706544429063797
20,6,120,0.001,2,731,0.04596361517906189
20,6,128,0.001,2,638,0.040426790714263916
20,3,72,0.001,2,865,0.049718134105205536
20,4,80,0.001,2,891,0.0464797168970108
20,4,88,0.001,2,742,0.049770552664995193
20,4,96,0.001,2,663,0.04635241627693176
20,5,104,0.001,2,801,0.04177403822541237
20,5,112,0.001,2,604,0.04612007737159729
20,6,120,0.001,2,697,0.04368853569030762
20,6,128,0.001,2,691,0.049053795635700226
20,7,144,0.001,2,684,0.04724503681063652
20,8,160,0.001,2,634,0.04859788343310356
20,8,176,0.001,2,643,0.03837275132536888
20,9,192,0.001,2,645,0.041532568633556366
20,10,208,0.001,2,652,0.04500414431095123
20,11,224,0.001,2,587,0.04764602333307266
20,12,240,0.001,2,649,0.04529234766960144
20,12,256,0.001,2,705,0.03695090860128403
20,7,144,0.001,2,636,0.048780396580696106
20,8,160,0.001,2,603,0.049197643995285034
20,8,176,0.001,2,662,0.04452439397573471
20,9,192,0.001,2,699,0.0497107207775116
20,10,208,0.001,2,610,0.049882955849170685
20,11,224,0.001,2,565,0.04710859805345535
20,12,240,0.001,2,597,0.04956194385886192
20,12,256,0.001,2,587,0.04047035425901413
20,7,144,0.001,2,713,0.0493636280298233
20,8,160,0.001,2,691,0.046121396124362946
20,8,176,0.001,2,627,0.04928283020853996
20,9,192,0.001,2,641,0.045981500297784805
20,10,208,0.001,2,676,0.039367638528347015
20,11,224,0.001,2,591,0.047308482229709625
20,12,240,0.001,2,617,0.047810059040784836
20,12,256,0.001,2,653,0.04660584032535553
