Input dim,Multiplier,Hidden dim,Lr,Layers,Epochs,Loss
2,32,64,0.001,1,10,0.046129729598760605
2,32,64,0.001,2,10,0.04599785804748535
2,32,64,0.001,3,2,0.045799314975738525
2,32,64,0.001,4,10,0.038793012499809265
5,12,64,0.001,1,597,0.04291553050279617
5,12,64,0.001,2,725,0.04345174878835678
5,12,64,0.001,3,646,0.04708825424313545
5,12,64,0.001,4,613,0.04851056635379791
10,6,64,0.001,1,823,0.04384635016322136
10,6,64,0.001,2,648,0.04502103477716446
10,6,64,0.001,3,596,0.04710618406534195
10,6,64,0.001,4,509,0.04938055947422981
15,4,64,0.001,1,981,0.04954282194375992
15,4,64,0.001,2,857,0.04799927771091461
15,4,64,0.001,3,995,0.044482097029685974
15,4,64,0.001,4,683,0.03774671629071236
20,3,64,0.001,1,1532,0.046724528074264526
20,3,64,0.001,2,1090,0.048825547099113464
20,3,64,0.001,3,1212,0.04885965585708618
20,3,64,0.001,4,812,0.04956365004181862
25,2,64,0.001,1,1595,0.04638371616601944
25,2,64,0.001,2,1345,0.0495133176445961
25,2,64,0.001,3,1139,0.0479288324713707
25,2,64,0.001,4,1194,0.046233244240283966
30,2,64,0.001,1,1980,0.03929190710186958
30,2,64,0.001,2,1520,0.04541834816336632
30,2,64,0.001,3,1290,0.04938545078039169
30,2,64,0.001,4,5669,0.0440104603767395
40,1,64,0.001,1,2872,0.04212450981140137
40,1,64,0.001,2,2081,0.0494157150387764
40,1,64,0.001,3,1688,0.04926076531410217
40,1,64,0.001,4,2254,0.04058469086885452
50,1,64,0.001,1,4178,0.042132068425416946
50,1,64,0.001,2,3130,0.04985552281141281
50,1,64,0.001,3,1815,0.048481352627277374
50,1,64,0.001,4,1706,0.04588644206523895
60,1,64,0.001,1,3836,0.04637226462364197
60,1,64,0.001,2,3721,0.04865516722202301
60,1,64,0.001,3,3194,0.04848484694957733
60,1,64,0.001,4,4064,0.048682745546102524
75,0,64,0.001,1,4384,0.0488257110118866
75,0,64,0.001,2,4571,0.049624811857938766
75,0,64,0.001,3,4481,0.0497460812330246
75,0,64,0.001,4,10554,0.04270440340042114
100,0,64,0.001,1,3425,0.044370561838150024
100,0,64,0.001,2,6220,0.047468721866607666
100,0,64,0.001,3,6651,0.048735253512859344
100,0,64,0.001,4,10167,0.04872770607471466
125,0,64,0.001,1,8128,0.047215454280376434
125,0,64,0.001,2,5605,0.047413140535354614
125,0,64,0.001,3,11989,0.049695223569869995
125,0,64,0.001,4,8036,0.0491049699485302
150,0,64,0.001,1,7199,0.049268126487731934
150,0,64,0.001,2,9395,0.03944841027259827
150,0,64,0.001,3,13856,0.04951043426990509
150,0,64,0.001,4,20000,1.5230374336242676
2,32,64,0.001,5,4,0.03923715651035309
2,32,64,0.001,6,7,0.046984490007162094
2,32,64,0.001,7,5,0.04126310348510742
5,12,64,0.001,5,653,0.048989906907081604
5,12,64,0.001,6,683,0.049928367137908936
5,12,64,0.001,7,633,0.04986308515071869
10,6,64,0.001,5,522,0.0491042286157608
10,6,64,0.001,6,647,0.04780298471450806
10,6,64,0.001,7,622,0.036069877445697784
15,4,64,0.001,5,739,0.04314442723989487
15,4,64,0.001,6,1014,0.03573376685380936
15,4,64,0.001,7,1537,0.044929612427949905
20,3,64,0.001,5,714,0.047077637165784836
20,3,64,0.001,6,2914,0.04527772590517998
20,3,64,0.001,7,1435,0.04088127613067627
25,2,64,0.001,5,1095,0.04972178861498833
25,2,64,0.001,6,2978,0.04928126186132431
25,2,64,0.001,7,1604,0.04769548401236534
30,2,64,0.001,5,1030,0.0453496016561985
30,2,64,0.001,6,1506,0.045175570994615555
30,2,64,0.001,7,1499,0.03956949710845947
40,1,64,0.001,5,2754,0.04786211997270584
40,1,64,0.001,6,1969,0.044769011437892914
40,1,64,0.001,7,4117,0.0488712340593338
50,1,64,0.001,5,2392,0.04952197149395943
50,1,64,0.001,6,8050,0.047121912240982056
50,1,64,0.001,7,20000,1.0704810619354248
60,1,64,0.001,5,20000,1.0243409872055054
60,1,64,0.001,6,7126,0.04766881465911865
60,1,64,0.001,7,3759,0.04651428759098053
75,0,64,0.001,5,6313,0.04979998618364334
75,0,64,0.001,6,4463,0.0469190776348114
75,0,64,0.001,7,20000,1.3901362419128418
100,0,64,0.001,5,20000,1.3408119678497314
100,0,64,0.001,6,20000,1.6249948740005493
100,0,64,0.001,7,20000,1.3929200172424316
125,0,64,0.001,5,20000,1.6366900205612183
125,0,64,0.001,6,20000,1.3366774320602417
125,0,64,0.001,7,20000,1.6062248945236206
150,0,64,0.001,5,20000,1.3133970499038696
150,0,64,0.001,6,20000,1.5322990417480469
150,0,64,0.001,7,20000,1.4010162353515625
2,16,32,0.001,1,11,0.0487968847155571
2,16,32,0.001,2,1,0.044641707092523575
2,16,32,0.001,3,3,0.047143444418907166
2,16,32,0.001,4,6,0.04598240926861763
2,16,32,0.001,5,1,0.02800867334008217
2,16,32,0.001,6,1,0.012150764465332031
2,16,32,0.001,7,12,0.04958903789520264
5,6,32,0.001,1,719,0.044945985078811646
5,6,32,0.001,2,665,0.049615222960710526
5,6,32,0.001,3,804,0.04649072140455246
5,6,32,0.001,4,683,0.04618704319000244
5,6,32,0.001,5,695,0.04749130830168724
5,6,32,0.001,6,753,0.046783991158008575
5,6,32,0.001,7,720,0.047524936497211456
10,3,32,0.001,1,1166,0.04903149604797363
10,3,32,0.001,2,915,0.04568737745285034
10,3,32,0.001,3,914,0.039909280836582184
10,3,32,0.001,4,592,0.049975037574768066
10,3,32,0.001,5,833,0.04831214249134064
10,3,32,0.001,6,821,0.041743338108062744
10,3,32,0.001,7,829,0.04979563504457474
15,2,32,0.001,1,1594,0.046459440141916275
15,2,32,0.001,2,1272,0.04620533064007759
15,2,32,0.001,3,1007,0.04522132873535156
15,2,32,0.001,4,852,0.046692248433828354
15,2,32,0.001,5,995,0.03508305549621582
15,2,32,0.001,6,1319,0.04863725230097771
15,2,32,0.001,7,1219,0.04989238828420639
20,1,32,0.001,1,2333,0.048181772232055664
20,1,32,0.001,2,1342,0.04803094640374184
20,1,32,0.001,3,1305,0.04875713959336281
20,1,32,0.001,4,1337,0.04770093038678169
20,1,32,0.001,5,1368,0.04859873652458191
20,1,32,0.001,6,1321,0.044428709894418716
20,1,32,0.001,7,1904,0.04260293394327164
25,1,32,0.001,1,2589,0.0479036346077919
25,1,32,0.001,2,1659,0.04530565068125725
25,1,32,0.001,3,1600,0.04619140177965164
25,1,32,0.001,4,1326,0.04917984455823898
25,1,32,0.001,5,1450,0.04099305346608162
25,1,32,0.001,6,1589,0.045529577881097794
25,1,32,0.001,7,1730,0.04872670769691467
30,1,32,0.001,1,2147,0.048807282000780106
30,1,32,0.001,2,1627,0.04985250532627106
30,1,32,0.001,3,2067,0.04998376965522766
30,1,32,0.001,4,1956,0.04769372567534447
30,1,32,0.001,5,1734,0.044915009289979935
30,1,32,0.001,6,2285,0.04949018731713295
30,1,32,0.001,7,2025,0.04937036707997322
40,0,32,0.001,1,3429,0.04720752686262131
40,0,32,0.001,2,2465,0.04997054487466812
40,0,32,0.001,3,1775,0.04942573234438896
40,0,32,0.001,4,2639,0.04458063095808029
40,0,32,0.001,5,1900,0.04876556620001793
40,0,32,0.001,6,1823,0.04443104565143585
40,0,32,0.001,7,2974,0.04849507287144661
50,0,32,0.001,1,4495,0.04323923960328102
50,0,32,0.001,2,2328,0.04883160442113876
50,0,32,0.001,3,2624,0.043814517557621
50,0,32,0.001,4,5023,0.042626503854990005
50,0,32,0.001,5,2695,0.049266915768384933
50,0,32,0.001,6,20000,1.0131967067718506
50,0,32,0.001,7,3484,0.0479772612452507
60,0,32,0.001,1,5635,0.04804330691695213
60,0,32,0.001,2,2382,0.04901031404733658
60,0,32,0.001,3,3769,0.046499691903591156
60,0,32,0.001,4,2846,0.048054106533527374
60,0,32,0.001,5,2707,0.047194771468639374
60,0,32,0.001,6,5059,0.04522079974412918
60,0,32,0.001,7,3768,0.04340904951095581
75,0,32,0.001,1,6312,0.0480872243642807
75,0,32,0.001,2,6146,0.04860755801200867
75,0,32,0.001,3,5376,0.04685097932815552
75,0,32,0.001,4,5836,0.04654013365507126
75,0,32,0.001,5,3559,0.04953141510486603
75,0,32,0.001,6,20000,1.0229359865188599
75,0,32,0.001,7,20000,1.635981798171997
100,0,32,0.001,1,10761,0.044942356646060944
100,0,32,0.001,2,7984,0.047363266348838806
100,0,32,0.001,3,6143,0.049702346324920654
100,0,32,0.001,4,20000,1.4376599788665771
100,0,32,0.001,5,6515,0.03871934860944748
100,0,32,0.001,6,20000,1.2886953353881836
100,0,32,0.001,7,20000,1.227400302886963
125,0,32,0.001,1,8470,0.04425187408924103
125,0,32,0.001,2,8467,0.04823555052280426
125,0,32,0.001,3,6976,0.04862907528877258
125,0,32,0.001,4,20000,1.2917773723602295
125,0,32,0.001,5,5769,0.049239009618759155
125,0,32,0.001,6,20000,1.0777661800384521
125,0,32,0.001,7,20000,1.248641848564148
150,0,32,0.001,1,12242,0.04870714247226715
150,0,32,0.001,2,6082,0.0404701828956604
150,0,32,0.001,3,15144,0.04956898093223572
150,0,32,0.001,4,20000,1.6461988687515259
150,0,32,0.001,5,20000,1.2844972610473633
150,0,32,0.001,6,8752,0.047038570046424866
150,0,32,0.001,7,20000,1.9023998975753784
