Input_Dim,a,b,c,d,e,f,Epochs,g,h
100,0,64,300,0.0005,2,3,6173,0.09669862687587738,0.11080452054738998
150,0,64,300,0.0005,2,3,6732,0.09695761650800705,0.10937381535768509
200,0,64,300,0.0005,2,3,12456,0.09033472836017609,0.19285288453102112
250,0,64,300,0.0005,2,3,14640,0.08972125500440598,0.14303791522979736
300,0,64,300,0.0005,2,3,10496,0.0895274206995964,0.1078811064362526
350,0,64,300,0.0005,2,3,22020,0.08179974555969238,0.2043294906616211
400,0,64,300,0.0005,2,3,23020,0.09643019735813141,0.15316271781921387
450,0,64,300,0.0005,2,3,36722,0.07529278099536896,0.14834709465503693
500,0,64,300,0.0005,2,3,40182,0.08855791389942169,0.2474367916584015
550,0,64,300,0.0005,2,3,38388,0.09957268834114075,0.08682101964950562
100,0,64,300,0.001,2,3,5470,0.09814667701721191,0.08876694738864899
400,0,64,300,0.001,2,3,20356,0.09443546831607819,0.1229303777217865
500,0,64,300,0.001,2,3,60546,0.09987178444862366,0.11414208263158798
100,0,64,300,0.0005,2,3,7036,0.09178054332733154,0.09596423804759979
150,0,64,300,0.0005,2,3,8536,0.09192808717489243,0.18858501315116882
200,0,64,300,0.0005,2,3,6658,0.09266315400600433,0.19919565320014954
250,0,64,300,0.0005,2,3,14631,0.09893058240413666,0.11222945898771286
300,0,64,300,0.0005,2,3,19241,0.09683075547218323,0.09843045473098755
350,0,64,300,0.0005,2,3,23657,0.09829621762037277,0.1839333474636078
100,0,64,300,0.0005,2,3,5328,0.09968779236078262,0.1148647665977478
200,0,64,300,0.0005,2,3,14906,0.09528138488531113,0.10372892022132874
300,0,64,300,0.0005,2,3,17275,0.08816158026456833,0.27350178360939026
400,0,64,300,0.0005,2,3,26955,0.09205469489097595,0.10059583932161331
500,0,64,300,0.0005,2,3,24423,0.08732086420059204,0.24274024367332458
600,0,64,300,0.0005,2,3,39605,0.08572578430175781,0.1503317803144455