Input dim,Multiplier [Hidden_dim / Input dim],Hidden dim,Lr,Layers,Epochs [25000 max],Loss
2,2,4,0.01,1,71,0.03454343229532242
2,4,8,0.01,1,75,0.03925751894712448
2,6,12,0.01,1,46,0.04582968354225159
2,8,16,0.01,1,49,0.04791366308927536
2,10,20,0.01,1,50,0.04243258014321327
2,12,24,0.01,1,44,0.04861677065491676
2,14,28,0.01,1,44,0.04799016937613487
3,2,6,0.01,1,162,0.045760877430438995
3,4,12,0.01,1,71,0.048750072717666626
3,6,18,0.01,1,63,0.04814158007502556
3,8,24,0.01,1,73,0.030370205640792847
3,10,30,0.01,1,32,0.04475155100226402
3,12,36,0.01,1,71,0.041875600814819336
3,14,42,0.01,1,41,0.03786855936050415
4,2,8,0.01,1,130,0.04947097599506378
4,4,16,0.01,1,78,0.049575746059417725
4,6,24,0.01,1,57,0.049293261021375656
4,8,32,0.01,1,55,0.04663293808698654
4,10,40,0.01,1,68,0.040903832763433456
4,12,48,0.01,1,46,0.0460812933743
4,14,56,0.01,1,58,0.03577220439910889
5,2,10,0.01,1,1120,0.04397779703140259
5,4,20,0.01,1,123,0.0455823615193367
5,6,30,0.01,1,49,0.048420101404190063
5,8,40,0.01,1,70,0.04827240854501724
5,10,50,0.01,1,71,0.04136563837528229
5,12,60,0.01,1,35,0.0452611967921257
5,14,70,0.01,1,38,0.045571088790893555
10,2,20,0.01,1,10372,0.04983130469918251
10,4,40,0.01,1,798,0.04722386598587036
10,6,60,0.01,1,317,0.03255684673786163
10,8,80,0.01,1,277,0.0460667759180069
10,10,100,0.01,1,261,0.04852612316608429
10,12,120,0.01,1,204,0.04990793764591217
10,14,140,0.01,1,93,0.048988793045282364
15,2,30,0.01,1,25000,0.1319255232810974
15,4,60,0.01,1,3740,0.04921603575348854
15,6,90,0.01,1,3444,0.04938304424285889
15,8,120,0.01,1,683,0.042147912085056305
15,10,150,0.01,1,1110,0.04896126687526703
15,12,180,0.01,1,1164,0.045501381158828735
15,14,210,0.01,1,1042,0.04925896227359772
20,2,40,0.01,1,25000,0.10614082962274551
20,4,80,0.01,1,8707,0.04818197339773178
20,6,120,0.01,1,4780,0.04882219433784485
20,8,160,0.01,1,2841,0.04830138385295868
20,10,200,0.01,1,2450,0.04791771620512009
20,12,240,0.01,1,2267,0.04968967288732529
20,14,280,0.01,1,1528,0.04947924613952637
25,2,50,0.01,1,25000,0.11651185154914856
25,4,100,0.01,1,5174,0.04876413941383362
25,6,150,0.01,1,4026,0.04814363270998001
25,8,200,0.01,1,4080,0.04580693691968918
25,10,250,0.01,1,3199,0.04890036582946777
25,12,300,0.01,1,1899,0.04592331498861313
25,14,350,0.01,1,3380,0.048621997237205505
35,2,70,0.01,1,25000,0.14013922214508057
35,4,140,0.01,1,11190,0.04966042935848236
35,6,210,0.01,1,7924,0.04992348700761795
35,8,280,0.01,1,5031,0.04742879420518875
35,10,350,0.01,1,5526,0.04901202768087387
35,12,420,0.01,1,4689,0.04149957746267319
35,14,490,0.01,1,4791,0.048383720219135284
50,2,100,0.01,1,25000,0.12177804112434387
50,4,200,0.01,1,12335,0.04759606719017029
50,6,300,0.01,1,11922,0.045473724603652954
50,8,400,0.01,1,7597,0.04676668345928192
50,10,500,0.01,1,5645,0.04779992997646332
50,12,600,0.01,1,5314,0.04888439178466797
50,14,700,0.01,1,5896,0.0479104220867157
60,2,120,0.01,1,25000,0.11182627081871033
60,4,240,0.01,1,19330,0.048688098788261414
60,6,360,0.01,1,11307,0.0494471937417984
60,8,480,0.01,1,8180,0.049753338098526
60,10,600,0.01,1,7393,0.04736317694187164
60,12,720,0.01,1,9941,0.04438817501068115
60,14,840,0.01,1,8559,0.04789966344833374
70,2,140,0.01,1,25000,0.12401546537876129
70,4,280,0.01,1,13283,0.04774919152259827
70,6,420,0.01,1,9740,0.04954494535923004
70,8,560,0.01,1,8773,0.047569721937179565
70,10,700,0.01,1,8947,0.04998219013214111
70,12,840,0.01,1,8427,0.04826517403125763
70,14,980,0.01,1,8009,0.043556615710258484
80,2,160,0.01,1,25000,0.11614900827407837
80,4,320,0.01,1,25000,0.10630473494529724
80,6,480,0.01,1,11918,0.04246842861175537
80,8,640,0.01,1,12763,0.04624427855014801
80,10,800,0.01,1,11461,0.044358909130096436
80,12,960,0.01,1,12923,0.04446129500865936
80,14,1120,0.01,1,10850,0.03929795324802399
90,2,180,0.01,1,25000,0.16927570104599
90,4,360,0.01,1,25000,0.07771448791027069
90,6,540,0.01,1,11454,0.049741849303245544
90,8,720,0.01,1,12536,0.04457800090312958
90,10,900,0.01,1,12895,0.043200477957725525
90,12,1080,0.01,1,13602,0.04845118522644043
90,14,1260,0.01,1,11793,0.04942679405212402
100,2,200,0.01,1,25000,0.16236399114131927
100,4,400,0.01,1,25000,0.10211576521396637
100,6,600,0.01,1,14650,0.04882301390171051
100,8,800,0.01,1,12397,0.047999441623687744
100,10,1000,0.01,1,14011,0.04513806104660034
100,12,1200,0.01,1,13401,0.043619439005851746
100,14,1400,0.01,1,11188,0.04773852229118347
125,2,250,0.01,1,25000,0.10088858008384705
125,4,500,0.01,1,25000,0.08442699909210205
125,6,750,0.01,1,17764,0.043604642152786255
125,8,1000,0.01,1,16629,0.047532156109809875
125,10,1250,0.01,1,13544,0.0487346351146698
125,12,1500,0.01,1,14400,0.04980453848838806
125,14,1750,0.01,1,13260,0.04926970601081848
150,2,300,0.01,1,25000,0.11583265662193298
150,4,600,0.01,1,25000,0.113118976354599
150,6,900,0.01,1,25000,0.10978671908378601
150,8,1200,0.01,1,20742,0.04558262228965759
150,10,1500,0.01,1,15345,0.04673615097999573
150,12,1800,0.01,1,15274,0.049063026905059814
150,14,2100,0.01,1,15363,0.04689985513687134
