n,learning_rate,hidden_dim,layers_num,batch_size,epochs,weight_decay,granulation,loss_tolerance,dataset_size,granulation_mode,epsilon,test_loss,test_normal_loss
5,0.01,32,3,64,250,0.0001,2,0.0,125,False,0.0,0.2596920430660248,0.2596920430660248
5,0.01,32,3,64,250,0.0001,2,0.0,125,True,0.0,2.2673449516296387,2.2673449516296387
5,0.01,32,3,64,250,0.0001,2,0.0,125,True,0.05,2.0930252075195312,2.0930252075195312
5,0.01,32,3,64,250,0.0001,2,0.0,125,True,0.1,0.33832383155822754,0.33832383155822754
5,0.01,32,3,64,250,0.0001,2,0.0,125,True,0.2,0.14628927409648895,0.14628927409648895
5,0.01,32,3,64,250,0.0001,3,0.0,625,False,0.0,0.08461487293243408,0.08461487293243408
5,0.01,32,3,64,250,0.0001,3,0.0,625,True,0.0,0.12281149625778198,0.12281149625778198
5,0.01,32,3,64,250,0.0001,3,0.0,625,True,0.05,0.044333793222904205,0.044333793222904205
5,0.01,32,3,64,250,0.0001,3,0.0,625,True,0.1,0.15320096909999847,0.15320096909999847
5,0.01,32,3,64,250,0.0001,3,0.0,625,True,0.2,0.11647214740514755,0.11647214740514755
5,0.01,32,3,64,250,0.0001,4,0.0,3125,False,0.0,0.08209225349128246,0.027364084497094154
5,0.01,32,3,64,250,0.0001,4,0.0,3125,True,0.0,1.2116338014602661,0.4038779338200887
5,0.01,32,3,64,250,0.0001,4,0.0,3125,True,0.05,1.6198498010635376,0.5399499336878458
5,0.01,32,3,64,250,0.0001,4,0.0,3125,True,0.1,1.5068477094173431,0.502282569805781
5,0.01,32,3,64,250,0.0001,4,0.0,3125,True,0.2,2.6353774070739746,0.8784591356913248
6,0.01,32,3,64,250,0.0001,2,0.0,216,False,0.0,0.13323096930980682,0.13323096930980682
6,0.01,32,3,64,250,0.0001,2,0.0,216,True,0.0,1.3163255453109741,1.3163255453109741
6,0.01,32,3,64,250,0.0001,2,0.0,216,True,0.05,1.244646668434143,1.244646668434143
6,0.01,32,3,64,250,0.0001,2,0.0,216,True,0.1,1.9927597045898438,1.9927597045898438
6,0.01,32,3,64,250,0.0001,2,0.0,216,True,0.2,0.49403220415115356,0.49403220415115356
6,0.01,32,3,64,250,0.0001,4,0.0,7776,False,0.0,0.29295910336077213,0.04185130048011031
6,0.01,32,3,64,250,0.0001,4,0.0,7776,True,0.0,6.102192521095276,0.8717417887278965
6,0.01,32,3,64,250,0.0001,4,0.0,7776,True,0.05,6.30203115940094,0.9002901656287057
6,0.01,32,3,64,250,0.0001,4,0.0,7776,True,0.1,7.6195210218429565,1.0885030031204224
6,0.01,32,3,64,250,0.0001,4,0.0,7776,True,0.2,10.686644673347473,1.5266635247639246
7,0.01,32,3,64,250,0.0001,2,0.0,343,False,0.0,0.16382776200771332,0.16382776200771332
7,0.01,32,3,64,250,0.0001,2,0.0,343,True,0.0,4.877965927124023,4.877965927124023
7,0.01,32,3,64,250,0.0001,2,0.0,343,True,0.05,1.3426109552383423,1.3426109552383423
7,0.01,32,3,64,250,0.0001,2,0.0,343,True,0.1,0.1601005494594574,0.1601005494594574
7,0.01,32,3,64,250,0.0001,2,0.0,343,True,0.2,0.202486053109169,0.202486053109169
7,0.01,32,3,64,250,0.0001,3,0.0,2401,False,0.0,0.2419508919119835,0.12097544595599174
7,0.01,32,3,64,250,0.0001,3,0.0,2401,True,0.0,2.3109147548675537,1.1554573774337769
7,0.01,32,3,64,250,0.0001,3,0.0,2401,True,0.05,3.292380213737488,1.646190106868744
7,0.01,32,3,64,250,0.0001,3,0.0,2401,True,0.1,3.4311821460723877,1.7155910730361938
7,0.01,32,3,64,250,0.0001,3,0.0,2401,True,0.2,3.8890079259872437,1.9445039629936218
7,0.01,32,3,64,250,0.0001,4,0.0,16807,False,0.0,1.244385041296482,0.08888464580689158
7,0.01,32,3,64,250,0.0001,4,0.0,16807,True,0.0,18.55474865436554,1.3253391895975386
7,0.01,32,3,64,250,0.0001,4,0.0,16807,True,0.05,18.51844620704651,1.3227461576461792
7,0.01,32,3,64,250,0.0001,4,0.0,16807,True,0.1,24.513783812522888,1.750984558037349
7,0.01,32,3,64,250,0.0001,4,0.0,16807,True,0.2,27.769792556762695,1.9835566111973353
5,0.01,32,3,64,100,0.0001,5,0.0,15625,False,0.0,0.4753885939717293,0.036568353382440716
5,0.01,32,3,64,100,0.0001,5,0.0,15625,True,0.0,7.783467024564743,0.5987282326588264
5,0.01,32,3,64,100,0.0001,5,0.0,15625,True,0.05,7.249986886978149,0.5576912989983192
5,0.01,32,3,64,100,0.0001,5,0.0,15625,True,0.1,11.230066239833832,0.8638512492179871
5,0.01,32,3,64,100,0.0001,5,0.0,15625,True,0.2,11.957210838794708,0.9197854491380545
6,0.01,32,3,64,100,0.0001,5,0.0,46656,False,0.0,1.9474110938608646,0.05263273226650986
6,0.01,32,3,64,100,0.0001,5,0.0,46656,True,0.0,40.28864151239395,1.0888822030376744
6,0.01,32,3,64,100,0.0001,5,0.0,46656,True,0.05,41.35678178071976,1.1177508589383718
6,0.01,32,3,64,100,0.0001,5,0.0,46656,True,0.1,46.13941013813019,1.2470110848143294
6,0.01,32,3,64,100,0.0001,5,0.0,46656,True,0.2,56.32353949546814,1.5222578242018416
7,0.01,32,3,64,100,0.0001,5,0.0,117649,False,0.0,3.950643077492714,0.04294177258144254
7,0.01,32,3,64,100,0.0001,5,0.0,117649,True,0.0,148.47397375106812,1.6138475407724795
7,0.01,32,3,64,100,0.0001,5,0.0,117649,True,0.05,158.65970993041992,1.7245620644610862
7,0.01,32,3,64,100,0.0001,5,0.0,117649,True,0.1,205.29166650772095,2.231431157692619
7,0.01,32,3,64,100,0.0001,5,0.0,117649,True,0.2,212.29309511184692,2.307533642520075
